Country,Artist,Album,Genre,Release Year,Monthly Listeners (Millions),Total Streams (Millions),Total Hours Streamed (Millions),Avg Stream Duration (Min),Platform Type,Streams Last 30 Days (Millions),Skip Rate (%)
United Kingdom,Olivia Rodrigo,Guts,K-pop,2020,46.08,1073.99,3722.29,3.45,Premium,144.68,18.65
Brazil,BTS,Proof,Pop,2023,12.39,4253.44,16145.8,3.85,Free,186.05,29.88
Indonesia,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Jazz,2019,33.77,2160.53,7397.89,4.1,Free,38.09,26.64
Spain,Taylor Swift,1989 (Taylor's Version),Classical,2019,45.51,2176.29,5460.09,2.93,Premium,150.71,32.54
Brazil,Ed Sheeran,Autumn Variations,Hip Hop,2022,19.51,1663.63,5681.46,3.02,Premium,106.02,25.93
Argentina,BLACKPINK,BORN PINK,Classical,2021,59.11,1772.23,7427.48,3.73,Premium,183.82,24.02
United Kingdom,Olivia Rodrigo,Guts,Hip Hop,2019,31.23,956.07,3716.12,3.52,Premium,119.69,23.42
Netherlands,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Rock,2023,54.2,4599.85,20061.74,2.85,Free,98.44,6.47
Japan,Doja Cat,Scarlet,Rock,2022,6.31,1827.24,4603.12,2.77,Premium,192.8,20.71
Russia,BLACKPINK,BORN PINK,Rock,2021,71.3,2247.07,6369.34,3.63,Free,59.13,11.72
South Africa,BTS,Proof,Reggaeton,2021,57.0,3874.11,13523.07,3.52,Free,54.31,22.18
Italy,Ariana Grande,Eternal Sunshine,Pop,2023,44.7,1131.78,3791.81,3.97,Free,60.24,39.97
Sweden,BTS,Proof,Indie,2018,44.47,4970.09,20135.14,2.97,Premium,172.35,24.8
Netherlands,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Classical,2019,78.7,4076.97,16759.94,3.64,Premium,119.77,7.57
South Korea,BTS,Proof,Classical,2020,95.29,2596.35,11165.11,4.13,Free,192.59,31.64
India,BTS,Proof,Reggaeton,2023,86.74,1285.9,5044.32,4.16,Premium,98.4,23.52
Mexico,Billie Eilish,Happier Than Ever,EDM,2021,45.75,3186.46,13575.12,2.69,Premium,139.25,35.22
Sweden,Dua Lipa,Future Nostalgia,Indie,2022,1.24,3881.97,15393.75,3.96,Premium,127.33,28.19
Brazil,Post Malone,Austin,Jazz,2021,22.57,2176.73,6364.11,3.04,Premium,68.21,23.54
Turkey,Doja Cat,Scarlet,Rock,2020,89.52,3823.16,9909.19,3.75,Premium,4.24,37.25
Canada,Dua Lipa,Future Nostalgia,Rock,2018,99.19,2167.61,9735.58,4.32,Premium,32.64,37.38
Mexico,Drake,For All The Dogs,Indie,2020,9.16,3339.32,12682.14,2.6,Premium,145.47,30.45
Netherlands,Billie Eilish,Happier Than Ever,Hip Hop,2023,10.42,1106.43,2938.54,3.69,Premium,2.85,28.13
Germany,Doja Cat,Scarlet,EDM,2023,14.09,400.6,1308.42,3.96,Free,21.54,15.33
South Korea,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,EDM,2019,64.52,3401.83,8970.02,3.63,Free,88.58,29.17
United Kingdom,SZA,SOS,EDM,2022,68.97,4306.81,11513.72,2.7,Free,118.33,15.98
Netherlands,Olivia Rodrigo,Guts,Reggaeton,2019,28.42,467.03,1684.48,3.7,Premium,156.01,27.93
South Korea,The Weeknd,After Hours,Jazz,2022,51.44,3751.83,11597.22,2.61,Free,99.48,5.4
Russia,Billie Eilish,Happier Than Ever,Classical,2018,53.3,4889.6,21874.92,4.37,Free,77.98,33.72
Netherlands,Olivia Rodrigo,Guts,Jazz,2023,18.1,2381.52,10656.67,2.65,Free,3.74,9.41
India,Post Malone,Austin,EDM,2022,29.36,3577.51,14432.46,3.35,Premium,17.4,21.93
Argentina,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,K-pop,2018,31.68,2580.96,7501.29,4.12,Premium,78.76,25.74
Brazil,BTS,Proof,EDM,2023,95.39,1231.26,3680.19,4.35,Free,91.22,24.74
South Korea,Billie Eilish,Happier Than Ever,Reggaeton,2018,2.25,729.2,1839.55,3.49,Premium,105.08,31.54
Mexico,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Indie,2019,75.23,4373.63,17345.26,2.74,Free,67.67,17.74
Indonesia,Drake,For All The Dogs,K-pop,2023,97.53,3156.29,11022.7,3.52,Free,100.42,23.11
Italy,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,K-pop,2018,89.53,3386.9,9248.5,3.98,Free,9.76,34.65
France,Taylor Swift,1989 (Taylor's Version),Rock,2020,38.91,792.92,3458.97,4.21,Premium,45.68,10.68
Japan,BTS,Proof,Hip Hop,2022,37.91,2535.1,10910.77,2.86,Free,190.86,3.69
Sweden,Doja Cat,Scarlet,K-pop,2020,33.4,2787.8,7013.93,2.9,Premium,148.18,10.46
Italy,Ed Sheeran,Autumn Variations,Rock,2019,73.51,2755.47,11275.24,2.8,Premium,5.76,22.12
United States,Olivia Rodrigo,Guts,Pop,2023,38.25,3703.51,11536.51,2.91,Free,84.54,38.49
United Kingdom,Karol G,MAÑANA SERÁ BONITO,K-pop,2018,5.35,1195.79,5011.57,3.33,Premium,92.23,30.17
Turkey,Drake,For All The Dogs,Jazz,2019,64.08,2002.04,7375.1,2.62,Free,48.12,11.18
Japan,SZA,SOS,EDM,2023,83.36,1664.95,5670.01,2.97,Free,28.09,31.04
Germany,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Hip Hop,2019,45.51,1604.46,4398.58,3.22,Free,90.93,19.07
Germany,Drake,For All The Dogs,Reggaeton,2023,31.12,3538.29,13115.04,2.93,Premium,30.52,28.74
Italy,BLACKPINK,BORN PINK,Jazz,2018,68.04,1337.83,5995.29,2.56,Premium,171.07,22.68
South Africa,The Weeknd,After Hours,Hip Hop,2021,11.09,3979.36,10915.01,2.62,Free,27.01,33.12
Italy,Billie Eilish,Happier Than Ever,Hip Hop,2022,59.03,4591.27,12166.75,4.49,Free,180.6,18.29
United Kingdom,Drake,For All The Dogs,Indie,2018,5.23,2331.92,6613.27,3.65,Premium,99.73,15.93
Netherlands,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Indie,2019,90.92,1411.16,4786.69,2.8,Free,129.81,20.46
South Africa,Dua Lipa,Future Nostalgia,Pop,2018,28.7,729.32,2114.24,4.27,Free,126.52,32.28
United States,BLACKPINK,BORN PINK,Indie,2021,54.91,2449.16,10593.48,3.5,Premium,54.82,2.02
Argentina,The Weeknd,After Hours,Pop,2020,6.8,4958.08,17645.14,4.03,Free,194.82,4.91
France,BTS,Proof,Jazz,2023,6.53,4982.14,14641.63,4.19,Premium,71.61,33.73
Canada,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,R&B,2022,32.48,3703.62,11916.64,3.68,Premium,189.56,22.98
Turkey,The Weeknd,After Hours,Rock,2022,31.6,2477.66,6641.4,2.97,Free,4.97,19.64
Japan,SZA,SOS,Classical,2019,80.84,1736.76,4958.31,4.1,Premium,12.85,6.76
United Kingdom,Post Malone,Austin,Hip Hop,2022,86.21,4804.77,15601.96,4.38,Premium,117.62,14.13
Japan,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Reggaeton,2023,94.92,3969.62,17550.98,3.8,Free,141.73,22.92
Argentina,Post Malone,Austin,Indie,2019,66.89,4081.55,13292.66,3.97,Premium,26.34,29.42
Turkey,BLACKPINK,BORN PINK,Classical,2018,19.03,1625.17,6691.82,3.72,Free,187.4,6.49
Brazil,The Weeknd,After Hours,Indie,2020,17.62,4432.34,11867.38,3.92,Premium,89.88,11.34
France,Karol G,MAÑANA SERÁ BONITO,Hip Hop,2020,26.41,584.77,1463.42,3.27,Premium,193.85,35.5
Russia,SZA,SOS,EDM,2020,55.06,552.07,1909.6,4.23,Free,33.37,3.87
India,BTS,Proof,Pop,2020,26.85,568.39,1809.54,4.28,Free,146.67,22.33
Brazil,Olivia Rodrigo,Guts,Classical,2022,89.43,3537.3,11894.69,3.81,Premium,32.26,4.95
Australia,The Weeknd,After Hours,EDM,2023,55.86,4631.59,16582.25,3.82,Premium,48.27,2.94
Turkey,Ariana Grande,Eternal Sunshine,Rock,2019,6.4,68.89,184.3,4.15,Premium,40.74,2.0
Canada,Billie Eilish,Happier Than Ever,K-pop,2018,47.88,621.77,2530.45,3.44,Premium,19.14,22.22
Canada,Olivia Rodrigo,Guts,EDM,2020,19.47,270.85,915.33,3.03,Premium,113.29,6.89
Germany,Drake,For All The Dogs,Indie,2022,41.98,3794.46,11212.73,2.62,Premium,163.86,17.33
South Africa,Billie Eilish,Happier Than Ever,Rock,2022,88.28,2407.5,6398.92,4.31,Free,100.92,36.12
Turkey,Billie Eilish,Happier Than Ever,Classical,2019,12.91,3798.08,10808.42,4.47,Free,161.88,5.92
Netherlands,Drake,For All The Dogs,EDM,2019,99.73,3154.77,13149.76,3.02,Free,18.32,22.7
South Africa,Olivia Rodrigo,Guts,K-pop,2022,46.36,4373.66,17814.36,3.75,Premium,23.39,6.84
Turkey,Ed Sheeran,Autumn Variations,Classical,2018,92.57,2835.28,7660.87,3.07,Premium,175.7,11.3
Russia,Ed Sheeran,Autumn Variations,Classical,2021,4.71,1413.3,3939.86,3.72,Premium,8.72,35.69
Japan,Karol G,MAÑANA SERÁ BONITO,R&B,2018,74.83,4608.13,19787.6,2.54,Premium,62.88,33.87
Germany,Doja Cat,Scarlet,R&B,2019,30.75,3731.43,15105.06,3.14,Premium,121.39,4.48
Sweden,The Weeknd,After Hours,EDM,2023,48.96,2606.68,8466.03,2.61,Free,14.06,28.67
Spain,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Jazz,2022,3.87,1004.18,4183.27,4.17,Free,7.58,2.97
Italy,Karol G,MAÑANA SERÁ BONITO,R&B,2020,37.47,2347.88,7733.65,4.35,Free,49.15,20.06
Sweden,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Rock,2022,55.58,1754.03,7323.61,3.02,Free,57.73,16.08
Canada,Doja Cat,Scarlet,Classical,2019,85.85,3254.53,12547.48,3.04,Premium,103.14,34.72
United States,Dua Lipa,Future Nostalgia,Reggaeton,2023,18.15,4014.28,11832.25,3.72,Premium,142.84,28.67
Mexico,BLACKPINK,BORN PINK,EDM,2020,46.44,1130.13,3508.25,3.54,Premium,117.31,1.29
Italy,Ariana Grande,Eternal Sunshine,Classical,2022,28.99,3437.85,11906.91,3.17,Premium,128.48,34.6
Mexico,Billie Eilish,Happier Than Ever,K-pop,2019,15.84,3839.1,16505.73,4.11,Premium,132.45,27.55
United States,Billie Eilish,Happier Than Ever,Rock,2020,26.68,2121.9,6952.51,2.57,Free,69.29,28.82
South Africa,Billie Eilish,Happier Than Ever,Rock,2023,36.49,1535.96,4362.09,3.82,Free,59.46,19.36
Mexico,Karol G,MAÑANA SERÁ BONITO,Jazz,2019,94.75,4502.98,17151.26,2.94,Free,149.1,12.98
Japan,Olivia Rodrigo,Guts,K-pop,2022,30.11,4263.51,14671.05,4.23,Free,94.97,8.59
Germany,Doja Cat,Scarlet,EDM,2022,30.54,317.61,1336.66,2.77,Free,69.19,39.5
Sweden,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Indie,2023,18.86,450.02,1424.43,4.47,Premium,127.27,1.18
Mexico,The Weeknd,After Hours,Reggaeton,2022,76.68,2473.41,9960.76,2.68,Premium,127.06,16.73
Russia,BLACKPINK,BORN PINK,Pop,2018,53.84,3666.76,16134.25,4.28,Free,4.57,1.16
France,The Weeknd,After Hours,Indie,2020,13.76,1948.57,7165.56,2.83,Free,60.34,12.34
Indonesia,Ed Sheeran,Autumn Variations,Jazz,2020,43.93,3449.56,9546.93,4.49,Premium,72.49,8.35
Spain,Taylor Swift,1989 (Taylor's Version),R&B,2019,72.99,699.47,2775.6,3.68,Free,25.51,28.73
India,BLACKPINK,BORN PINK,K-pop,2022,62.69,2989.92,7761.6,2.72,Free,10.6,5.52
Sweden,BLACKPINK,BORN PINK,Hip Hop,2022,26.02,3524.25,10259.06,3.87,Free,60.92,26.8
Indonesia,BTS,Proof,Classical,2022,70.37,2123.19,9123.87,3.52,Free,57.26,31.61
Russia,The Weeknd,After Hours,Classical,2019,78.02,4165.92,18522.68,3.22,Premium,59.77,2.54
Russia,SZA,SOS,R&B,2023,93.38,1686.49,4225.46,3.84,Free,167.21,27.09
United Kingdom,Drake,For All The Dogs,Jazz,2018,72.63,551.39,1660.67,2.96,Premium,53.56,2.95
Canada,Doja Cat,Scarlet,Pop,2020,36.66,3399.99,11396.73,2.73,Free,2.92,6.4
Canada,Olivia Rodrigo,Guts,Indie,2021,95.55,1378.13,5465.85,3.25,Premium,37.39,16.63
Sweden,BTS,Proof,EDM,2023,85.22,4009.5,15226.85,4.09,Free,27.37,29.33
Canada,Drake,For All The Dogs,EDM,2022,48.78,2866.27,9677.46,3.72,Premium,122.66,34.64
United Kingdom,Dua Lipa,Future Nostalgia,Rock,2018,88.87,2231.41,5861.18,3.81,Free,141.21,27.44
Turkey,Karol G,MAÑANA SERÁ BONITO,Classical,2019,97.81,3365.73,10691.58,3.55,Free,87.14,29.34
Russia,Olivia Rodrigo,Guts,EDM,2019,84.06,2813.8,12593.4,2.61,Free,101.61,19.3
Russia,Doja Cat,Scarlet,Reggaeton,2018,75.39,1637.14,5176.29,3.06,Free,110.55,15.77
France,Drake,For All The Dogs,Rock,2021,80.32,2268.09,9555.87,3.39,Free,196.15,30.06
United States,Drake,For All The Dogs,EDM,2021,4.55,2768.04,11492.4,4.08,Premium,178.13,22.93
Sweden,Olivia Rodrigo,Guts,Indie,2018,81.84,4229.37,13381.5,4.03,Premium,143.61,15.17
Sweden,Drake,For All The Dogs,Hip Hop,2023,22.95,1739.72,7236.83,4.43,Premium,109.99,15.58
Germany,Taylor Swift,1989 (Taylor's Version),Reggaeton,2021,14.9,3598.44,14189.07,2.71,Free,38.32,37.28
Spain,The Weeknd,After Hours,Rock,2019,71.96,583.44,1942.24,4.35,Free,154.66,18.57
Turkey,Ariana Grande,Eternal Sunshine,Reggaeton,2021,1.43,3694.26,13323.17,3.37,Premium,184.95,31.46
Canada,Karol G,MAÑANA SERÁ BONITO,Classical,2019,73.32,685.49,2244.85,3.7,Premium,101.32,16.0
Argentina,SZA,SOS,R&B,2020,40.39,1747.15,5395.81,4.11,Free,83.14,28.3
Indonesia,BTS,Proof,Jazz,2020,71.48,4680.78,17623.92,2.9,Premium,137.64,36.93
United Kingdom,Karol G,MAÑANA SERÁ BONITO,Reggaeton,2022,54.71,3202.54,12556.22,4.02,Premium,116.98,37.76
Netherlands,Billie Eilish,Happier Than Ever,Jazz,2020,87.87,2140.81,5406.7,2.71,Premium,29.92,27.14
Australia,BTS,Proof,Reggaeton,2020,68.66,774.82,2033.18,4.07,Free,150.97,2.26
Sweden,Drake,For All The Dogs,Classical,2023,74.21,4330.97,17258.16,3.62,Free,102.67,32.08
South Korea,Karol G,MAÑANA SERÁ BONITO,Pop,2021,39.37,4785.67,21304.11,3.13,Free,3.58,10.8
Argentina,Doja Cat,Scarlet,Rock,2019,91.24,3537.91,13427.31,4.01,Free,155.45,38.61
South Korea,Dua Lipa,Future Nostalgia,Reggaeton,2023,8.37,4814.25,19113.34,2.74,Free,86.27,22.71
United Kingdom,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Classical,2020,1.56,2358.34,10317.71,2.58,Premium,119.78,31.17
Argentina,Doja Cat,Scarlet,K-pop,2021,79.2,2773.29,7337.46,3.92,Free,191.44,21.3
Indonesia,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,EDM,2022,54.17,505.13,1486.29,2.93,Premium,66.88,12.45
Argentina,Ariana Grande,Eternal Sunshine,Rock,2022,82.55,4906.61,12352.92,3.84,Premium,48.83,26.05
Argentina,The Weeknd,After Hours,Pop,2023,88.68,1937.79,7930.24,2.73,Premium,108.51,12.03
Indonesia,Doja Cat,Scarlet,Indie,2022,80.48,2255.51,5836.59,4.3,Free,64.74,4.21
Germany,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Jazz,2022,1.73,374.09,1436.76,4.05,Premium,167.3,9.02
Netherlands,Billie Eilish,Happier Than Ever,Hip Hop,2023,68.92,167.58,659.22,2.58,Free,11.8,31.97
South Africa,Drake,For All The Dogs,Classical,2019,91.19,2067.78,7035.11,3.31,Premium,4.36,27.26
South Africa,Taylor Swift,1989 (Taylor's Version),Classical,2018,75.84,2948.76,11505.37,2.65,Free,58.68,27.75
Argentina,Drake,For All The Dogs,K-pop,2021,38.76,4119.51,10552.69,2.81,Free,28.14,16.25
South Africa,BTS,Proof,Reggaeton,2020,68.05,4575.14,18712.48,3.96,Premium,191.52,1.43
South Africa,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Hip Hop,2018,1.5,3003.44,10735.21,4.39,Premium,42.8,29.92
Italy,The Weeknd,After Hours,EDM,2023,85.29,755.15,2165.76,3.73,Premium,39.67,8.07
Turkey,Doja Cat,Scarlet,Pop,2022,46.67,2770.84,8537.8,2.63,Free,40.29,23.64
Japan,Olivia Rodrigo,Guts,Reggaeton,2023,65.89,545.22,2038.59,4.3,Premium,97.69,13.81
South Korea,Karol G,MAÑANA SERÁ BONITO,Classical,2019,56.99,1854.24,5808.72,3.36,Free,63.33,31.64
Netherlands,BTS,Proof,Indie,2019,68.28,1691.24,5851.53,3.39,Premium,97.91,5.24
Argentina,Drake,For All The Dogs,K-pop,2019,89.24,1022.34,4055.71,3.75,Free,178.53,34.13
United States,Doja Cat,Scarlet,Classical,2022,41.11,2970.68,12811.38,3.6,Premium,131.13,6.8
Spain,The Weeknd,After Hours,Classical,2023,85.86,712.71,2496.09,2.68,Premium,100.93,26.84
Argentina,Billie Eilish,Happier Than Ever,Reggaeton,2022,14.9,838.15,3044.76,3.63,Free,147.45,19.86
Italy,Taylor Swift,1989 (Taylor's Version),R&B,2021,23.94,1358.57,4032.29,3.84,Premium,78.23,36.8
India,Taylor Swift,1989 (Taylor's Version),Indie,2018,70.67,2630.8,10942.27,4.17,Premium,116.15,23.24
Spain,Billie Eilish,Happier Than Ever,EDM,2020,59.18,4496.22,11940.5,3.0,Free,103.76,14.76
Italy,Dua Lipa,Future Nostalgia,Rock,2022,1.65,4416.07,14925.42,2.96,Premium,43.09,8.29
Italy,Ed Sheeran,Autumn Variations,Hip Hop,2023,23.8,4065.3,16019.36,3.46,Premium,96.33,24.04
Netherlands,Taylor Swift,1989 (Taylor's Version),R&B,2018,13.66,2982.12,8258.83,3.53,Free,12.13,11.07
Canada,Ariana Grande,Eternal Sunshine,EDM,2022,96.96,3206.23,13648.98,3.96,Premium,189.5,9.45
Argentina,Dua Lipa,Future Nostalgia,Rock,2019,22.72,2083.3,5802.87,3.67,Free,125.02,20.92
Canada,Karol G,MAÑANA SERÁ BONITO,Indie,2021,60.06,390.77,1272.51,2.76,Free,41.27,34.52
Indonesia,Billie Eilish,Happier Than Ever,EDM,2019,60.95,928.24,3994.42,3.7,Free,19.54,26.72
Argentina,Ariana Grande,Eternal Sunshine,Pop,2023,65.27,2634.12,8536.54,2.59,Premium,46.67,32.29
Spain,Olivia Rodrigo,Guts,Classical,2023,90.88,4194.09,15317.83,3.35,Premium,95.95,10.07
Brazil,BTS,Proof,Classical,2022,41.46,985.65,3862.07,4.08,Free,104.43,15.63
Australia,Karol G,MAÑANA SERÁ BONITO,Indie,2021,36.86,816.15,3103.94,3.01,Premium,113.37,24.86
Spain,Post Malone,Austin,R&B,2021,55.66,2809.94,8029.23,3.62,Premium,51.5,12.96
Italy,Post Malone,Austin,EDM,2023,14.67,4325.96,11845.22,2.96,Free,20.96,20.83
Japan,Post Malone,Austin,Jazz,2022,70.01,3548.61,10012.32,4.43,Free,161.07,33.11
Russia,SZA,SOS,Classical,2021,9.73,1352.31,4383.74,3.72,Premium,186.21,16.63
Indonesia,BTS,Proof,Classical,2018,94.63,4110.13,15538.69,3.38,Free,170.26,37.3
Indonesia,BTS,Proof,R&B,2018,78.61,2577.21,10043.13,3.73,Free,72.59,26.55
Canada,Drake,For All The Dogs,K-pop,2021,35.96,2005.96,7366.21,3.54,Free,183.92,22.43
South Africa,SZA,SOS,Classical,2020,35.4,4086.8,12066.65,4.43,Premium,186.01,23.42
Mexico,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,EDM,2022,11.54,408.31,1261.07,4.39,Premium,175.35,32.71
Turkey,BTS,Proof,Rock,2021,56.75,3861.34,15503.07,4.42,Premium,136.64,35.96
United States,Dua Lipa,Future Nostalgia,Hip Hop,2020,7.69,3186.63,14302.86,3.85,Free,160.23,17.08
Italy,Ariana Grande,Eternal Sunshine,Jazz,2018,70.38,1353.58,4161.69,3.3,Premium,16.13,37.32
Russia,Olivia Rodrigo,Guts,Indie,2019,89.54,1381.93,6072.53,3.87,Free,100.3,8.79
France,Doja Cat,Scarlet,K-pop,2019,23.69,4182.96,17454.11,3.21,Free,24.86,4.06
Russia,Ed Sheeran,Autumn Variations,Pop,2022,95.84,4247.65,13772.55,3.13,Premium,98.67,39.39
Indonesia,BTS,Proof,EDM,2019,75.27,684.82,2432.12,3.35,Free,100.99,16.35
Canada,Dua Lipa,Future Nostalgia,Hip Hop,2023,52.3,1612.47,4058.32,3.85,Premium,116.62,13.69
Argentina,Doja Cat,Scarlet,K-pop,2019,55.31,1223.84,4213.3,3.73,Premium,37.6,17.53
Netherlands,Karol G,MAÑANA SERÁ BONITO,Indie,2020,85.58,1434.17,4101.41,2.76,Free,163.02,29.11
France,Ariana Grande,Eternal Sunshine,EDM,2021,20.41,4010.19,15948.86,3.45,Free,36.14,20.48
Indonesia,Ariana Grande,Eternal Sunshine,Indie,2021,30.7,2832.59,10298.36,3.3,Free,12.95,32.74
Russia,Doja Cat,Scarlet,Hip Hop,2021,74.71,1335.86,4302.29,3.61,Premium,69.48,17.06
Italy,Doja Cat,Scarlet,Classical,2019,58.11,3266.83,11685.05,4.46,Premium,71.67,27.25
Russia,Post Malone,Austin,Rock,2018,38.73,1468.29,5525.8,2.79,Free,128.48,37.21
Netherlands,Billie Eilish,Happier Than Ever,Classical,2022,41.07,4540.01,12068.36,3.19,Premium,64.06,12.36
Mexico,Ed Sheeran,Autumn Variations,EDM,2020,88.88,3915.82,17141.66,4.0,Premium,83.38,8.17
United States,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,R&B,2023,25.91,3732.18,14926.78,2.92,Premium,21.5,3.49
Russia,Ariana Grande,Eternal Sunshine,Pop,2018,77.32,2643.71,11875.62,2.71,Free,17.78,37.33
Spain,BTS,Proof,R&B,2019,74.02,2243.64,6176.34,3.55,Free,6.69,26.88
Japan,Doja Cat,Scarlet,Rock,2021,97.52,2725.89,8299.87,3.39,Free,118.58,18.81
Turkey,BLACKPINK,BORN PINK,Jazz,2023,64.31,1582.82,5056.06,3.58,Free,88.93,15.27
Mexico,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,K-pop,2018,1.01,4086.13,17144.96,3.19,Premium,107.48,27.82
Russia,Post Malone,Austin,Rock,2020,1.9,2180.65,6729.15,2.96,Free,110.09,8.35
South Africa,BLACKPINK,BORN PINK,EDM,2019,17.16,3698.73,12129.79,3.26,Premium,16.76,25.39
Indonesia,Post Malone,Austin,Classical,2023,68.78,1459.15,5815.96,4.12,Premium,38.41,3.67
United Kingdom,BTS,Proof,Hip Hop,2023,46.08,2291.2,8937.85,3.48,Premium,4.86,2.94
South Africa,Taylor Swift,1989 (Taylor's Version),Reggaeton,2018,28.93,668.94,2258.9,2.52,Free,30.99,20.25
Japan,BLACKPINK,BORN PINK,K-pop,2021,99.8,2345.24,9575.26,3.16,Free,12.15,31.25
Brazil,Ariana Grande,Eternal Sunshine,Rock,2019,20.03,4215.62,17429.49,4.16,Free,194.95,28.87
Spain,Post Malone,Austin,Rock,2019,74.02,215.88,738.67,4.04,Free,95.09,27.58
South Korea,SZA,SOS,Indie,2019,63.29,258.82,1132.3,3.54,Premium,96.76,12.65
Italy,SZA,SOS,Pop,2023,22.56,609.0,2293.38,3.15,Free,159.08,23.8
Spain,Post Malone,Austin,R&B,2018,96.91,2926.33,11358.56,3.88,Free,74.91,4.49
Canada,Dua Lipa,Future Nostalgia,Hip Hop,2023,62.25,4657.7,20931.45,3.75,Free,71.75,7.0
South Africa,Post Malone,Austin,Hip Hop,2019,49.3,1617.86,5851.32,3.79,Premium,161.3,18.11
Australia,Taylor Swift,1989 (Taylor's Version),EDM,2020,72.72,1290.95,3329.33,3.91,Premium,109.0,20.11
Turkey,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Jazz,2020,33.04,2368.55,10031.58,3.7,Free,14.71,7.05
South Korea,Doja Cat,Scarlet,K-pop,2022,37.34,53.56,202.25,3.26,Free,176.7,25.17
Italy,Post Malone,Austin,Classical,2019,32.75,363.54,1612.05,4.14,Free,105.29,20.4
South Africa,Bad Bunny,Nadie Sabe Lo Que Va a Pasar Mañana,Classical,2020,32.94,3222.47,8768.11,3.55,Free,9.71,37.57
Canada,Doja Cat,Scarlet,Pop,2019,11.6,998.5,2559.79,3.78,Premium,131.93,21.51
Turkey,BTS,Proof,Pop,2020,22.85,3603.33,9102.63,4.34,Premium,185.75,33.45
Sweden,Post Malone,Austin,Pop,2020,56.24,4694.31,15641.0,3.24,Free,164.9,11.37
India,Karol G,MAÑANA SERÁ BONITO,Hip Hop,2020,8.72,1118.71,3959.08,2.7,Free,106.8,8.39
Indonesia,Billie Eilish,Happier Than Ever,R&B,2022,62.91,935.54,3740.65,3.33,Free,153.49,23.49
Sweden,Karol G,MAÑANA SERÁ BONITO,EDM,2018,17.51,942.96,3114.7,3.18,Free,107.25,24.4
Italy,SZA,SOS,Indie,2022,99.15,1657.04,5374.51,4.03,Premium,165.4,13.61
France,Ed Sheeran,Autumn Variations,Jazz,2019,38.13,2773.68,11064.64,3.22,Premium,90.05,16.49
India,BTS,Proof,Classical,2018,52.24,4967.39,15417.21,3.1,Free,43.75,13.28
Mexico,SZA,SOS,Jazz,2022,56.08,4633.32,13016.99,2.58,Premium,32.07,11.33
Turkey,The Weeknd,After Hours,R&B,2020,81.3,504.93,1666.07,4.34,Free,144.99,31.92
Canada,Dua Lipa,Future Nostalgia,Classical,2018,59.93,1536.95,6088.75,3.65,Free,156.24,36.95
Japan,Olivia Rodrigo,Guts,EDM,2021,93.09,646.68,2613.09,4.0,Free,127.14,25.66
India,BTS,Proof,Jazz,2018,32.61,2846.32,8976.33,3.9,Free,11.05,29.53
Spain,Dua Lipa,Future Nostalgia,Classical,2022,50.97,1149.32,3539.41,3.29,Free,67.9,19.56
India,Ariana Grande,Eternal Sunshine,EDM,2020,9.42,2534.02,10256.83,2.76,Free,96.7,8.73
Spain,Billie Eilish,Happier Than Ever,Classical,2019,56.56,4985.54,17691.17,2.98,Premium,155.58,13.61
Turkey,Drake,For All The Dogs,Hip Hop,2023,41.94,1858.07,5353.06,3.19,Free,154.17,7.6
Italy,Ed Sheeran,Autumn Variations,Rock,2022,15.44,272.14,1125.66,2.9,Premium,32.04,29.41
Brazil,Drake,For All The Dogs,Pop,2019,94.95,4637.31,19650.62,4.14,Free,69.31,32.37
South Korea,Dua Lipa,Future Nostalgia,Rock,2018,33.86,3713.06,10856.06,3.59,Premium,110.21,25.3
United Kingdom,Karol G,MAÑANA SERÁ BONITO,Pop,2021,58.72,3334.47,8626.15,2.84,Premium,40.94,28.16
Mexico,Taylor Swift,1989 (Taylor's Version),Rock,2023,94.57,379.66,1450.58,3.83,Premium,172.99,1.74
Spain,The Weeknd,After Hours,EDM,2022,97.68,543.04,1700.21,4.23,Free,38.1,20.53
